,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Tianjin,Shanxi,Gansu,Hong Kong,Liaoning,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Macau,Tibet
1/22/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/20,0.0,6.0,0.0,17.0,5.0,8.0,5.0,4.0,4.0,3.0,3.0,2.0,8.0,7.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
1/24/20,105.0,21.0,4.0,16.0,15.0,6.0,11.0,9.0,4.0,18.0,7.0,2.0,14.0,4.0,1.0,5.0,18.0,2.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
1/25/20,212.0,25.0,23.0,19.0,19.0,24.0,0.0,12.0,9.0,30.0,13.0,5.0,5.0,13.0,6.0,8.0,0.0,10.0,6.0,11.0,1.0,2.0,5.0,2.0,3.0,13.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0
1/26/20,297.0,33.0,51.0,42.0,26.0,21.0,18.0,19.0,15.0,18.0,16.0,6.0,27.0,7.0,5.0,17.0,13.0,7.0,5.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0
1/27/20,365.0,40.0,45.0,24.0,31.0,10.0,36.0,29.0,14.0,35.0,25.0,6.0,12.0,13.0,5.0,24.0,10.0,13.0,10.0,11.0,2.0,9.0,4.0,7.0,0.0,6.0,2.0,1.0,4.0,3.0,5.0,1.0,0.0
1/28/20,2131.0,56.0,40.0,45.0,43.0,36.0,37.0,20.0,23.0,22.0,21.0,12.0,11.0,13.0,15.0,21.0,5.0,11.0,18.0,7.0,2.0,1.0,14.0,5.0,0.0,7.0,2.0,5.0,4.0,4.0,0.0,1.0,0.0
1/29/20,0.0,70.0,38.0,123.0,78.0,46.0,0.0,35.0,29.0,15.0,18.0,5.0,20.0,30.0,15.0,4.0,7.0,10.0,11.0,3.0,0.0,3.0,0.0,5.0,2.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
1/30/20,1349.0,77.0,72.0,132.0,56.0,48.0,53.0,28.0,30.0,35.0,34.0,6.0,3.0,16.0,17.0,17.0,20.0,7.0,15.0,3.0,3.0,4.0,8.0,2.0,0.0,2.0,5.0,1.0,3.0,5.0,2.0,0.0,1.0
1/31/20,903.0,82.0,74.0,110.0,55.0,37.0,78.0,26.0,39.0,29.0,35.0,15.0,25.0,23.0,17.0,19.0,9.0,24.0,13.0,6.0,17.0,1.0,4.0,3.0,2.0,7.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0
2/1/20,1347.0,99.0,70.0,61.0,57.0,60.0,46.0,22.0,34.0,36.0,30.0,21.0,29.0,34.0,14.0,24.0,13.0,14.0,10.0,10.0,0.0,9.0,8.0,11.0,1.0,16.0,3.0,1.0,3.0,5.0,1.0,0.0,0.0
2/2/20,4024.0,97.0,71.0,62.0,74.0,43.0,47.0,24.0,34.0,53.0,24.0,15.0,23.0,13.0,8.0,15.0,11.0,15.0,12.0,2.0,9.0,7.0,19.0,11.0,2.0,6.0,6.0,3.0,4.0,2.0,2.0,1.0,0.0
2/3/20,2345.0,93.0,73.0,63.0,58.0,68.0,58.0,29.0,35.0,37.0,23.0,26.0,21.0,21.0,9.0,20.0,16.0,12.0,12.0,8.0,8.0,12.0,8.0,4.0,0.0,4.0,8.0,3.0,7.0,3.0,2.0,0.0,0.0
2/4/20,3156.0,88.0,109.0,105.0,72.0,72.0,85.0,16.0,37.0,29.0,28.0,34.0,16.0,16.0,13.0,15.0,12.0,14.0,5.0,8.0,12.0,7.0,7.0,2.0,2.0,7.0,11.0,5.0,1.0,3.0,2.0,2.0,0.0
2/5/20,2987.0,82.0,89.0,66.0,68.0,50.0,72.0,32.0,33.0,23.0,19.0,35.0,25.0,24.0,9.0,11.0,11.0,23.0,6.0,19.0,6.0,2.0,0.0,5.0,4.0,8.0,12.0,3.0,7.0,0.0,2.0,0.0,0.0
2/6/20,2447.0,75.0,87.0,59.0,50.0,61.0,52.0,40.0,32.0,22.0,20.0,37.0,21.0,14.0,22.0,10.0,18.0,8.0,5.0,7.0,7.0,10.0,15.0,0.0,3.0,5.0,5.0,4.0,4.0,6.0,1.0,0.0,0.0
2/7/20,2841.0,64.0,63.0,52.0,61.0,74.0,61.0,39.0,35.0,15.0,23.0,50.0,23.0,20.0,15.0,9.0,4.0,11.0,5.0,11.0,10.0,2.0,8.0,5.0,1.0,5.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0
2/8/20,2147.0,61.0,67.0,42.0,31.0,68.0,37.0,30.0,31.0,2.0,20.0,18.0,18.0,9.0,23.0,15.0,11.0,11.0,0.0,7.0,8.0,7.0,11.0,12.0,1.0,6.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0
2/9/20,2531.0,36.0,52.0,27.0,35.0,46.0,42.0,28.0,29.0,40.0,22.0,12.0,11.0,7.0,11.0,11.0,12.0,13.0,3.0,7.0,10.0,3.0,4.0,4.0,3.0,2.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0
2/10/20,2097.0,28.0,40.0,17.0,41.0,51.0,31.0,22.0,24.0,18.0,19.0,24.0,11.0,6.0,12.0,11.0,15.0,5.0,8.0,7.0,10.0,4.0,0.0,0.0,9.0,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0
2/11/20,1638.0,18.0,32.0,25.0,33.0,30.0,33.0,21.0,23.0,19.0,12.0,29.0,5.0,4.0,21.0,6.0,5.0,6.0,4.0,6.0,18.0,11.0,5.0,3.0,11.0,3.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0
2/12/20,0.0,42.0,30.0,14.0,34.0,29.0,40.0,10.0,28.0,13.0,19.0,18.0,10.0,8.0,12.0,5.0,7.0,6.0,1.0,13.0,6.0,6.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0
2/13/20,14840.0,22.0,34.0,14.0,22.0,21.0,28.0,12.0,27.0,11.0,15.0,17.0,14.0,4.0,14.0,7.0,0.0,4.0,2.0,0.0,2.0,7.0,0.0,3.0,3.0,1.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0
2/14/20,6200.0,20.0,15.0,10.0,20.0,24.0,28.0,14.0,23.0,8.0,12.0,24.0,6.0,3.0,18.0,2.0,4.0,1.0,6.0,2.0,5.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0
2/15/20,1843.0,33.0,28.0,7.0,13.0,16.0,13.0,9.0,11.0,7.0,7.0,6.0,3.0,8.0,8.0,4.0,9.0,2.0,6.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0
2/16/20,1933.0,22.0,19.0,5.0,3.0,12.0,12.0,5.0,13.0,7.0,11.0,20.0,5.0,2.0,9.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2/17/20,1807.0,6.0,15.0,4.0,2.0,11.0,5.0,4.0,9.0,2.0,14.0,12.0,1.0,5.0,1.0,3.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
2/18/20,1693.0,6.0,11.0,1.0,1.0,9.0,3.0,2.0,3.0,2.0,13.0,7.0,6.0,0.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2/19/20,349.0,3.0,5.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0,6.0,6.0,6.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
2/20/20,411.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,7.0,6.0,6.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2/21/20,220.0,1.0,2.0,28.0,1.0,1.0,0.0,203.0,0.0,5.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/22/20,1422.0,6.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/23/20,0.0,3.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/24/20,203.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2/25/20,499.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/26/20,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/27/20,409.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2/28/20,318.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/29/20,423.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3/1/20,570.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/2/20,196.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3/3/20,114.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/4/20,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3/5/20,134.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/6/20,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/7/20,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/8/20,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/9/20,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/10/20,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/11/20,13.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/12/20,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/13/20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/14/20,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/15/20,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/16/20,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
